objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"12 Rivers","447649","7.9","1","0","1","0","0","0","0","0","0","0","3","","2-4 players
45-75 min 
S-3-4","","","","140199101","5.84517","7.0993","1.9","4372","1426","thing","12 Rivers","2","4","75","75","45","2025","3,4","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"16 Candies","376932","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","146488266","5.50496","6.13974","1","24715","215","thing","16 Candies","2","4","30","30","15","2024","3,4","3","10+","","","","","","","standalone","","","","","","","","","","","","","","",""
"20 Strong: Tanglewoods","432950","0","0","0","1","0","0","0","0","0","0","0","3","","1 Player 
30-40 Minutes
C-C-4","","","","147962608","5.6801","7.63401","2.2727","0","1773","thing","20 Strong: Tanglewoods","1","1","60","60","30","2025","1","1","12+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"20 Strong: Tanglewoods White","424850","0","0","0","1","0","0","0","0","0","0","0","3","","1 Player 
30-40 Minutes
Requires core box 
C-C-4","","","","147962420","5.62626","7.49381","2.6667","0","2712","thing","20 Strong: Tanglewoods White","1","1","60","60","40","2025","1","1","12+","","","","","","","expansion","","","","","","","","","","","","","","",""
"25 Outlaws","283544","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","140311742","5.48631","5.37094","2.5","28764","494","thing","25 Outlaws","2","5","0","0","0","2019","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"3D Labyrinth","274205","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","140198974","5.54482","6.30484","1.4286","14072","474","thing","3D Labyrinth","2","4","30","30","20","2019","2,3,4","2","8+","","","","","","","standalone","","","","","","","","","","","","","","",""
"5-Minute Mystery","294514","0","0","0","1","0","0","0","0","0","0","0","3","","1-6 Players
5-30 min 
S-3-1","","","","142315719","6.24237","6.9593","1.1633","2078","6812","thing","5-Minute Mystery","1","6","30","30","5","2020","1,2,3,4","3","6+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"7 Wonders Dice","446231","7.8","1","0","1","0","0","0","0","0","0","0","2","","2 - 7 Players
25 - 30 Minutes
C-B-2

Average roll and write but it’s reuseable plus it gives you a different way to roll dice","","","","139486742","5.89563","6.43117","2.1111","3937","2643","thing","7 Wonders Dice","2","7","30","30","25","2025","2,3,4,5,6,7","3,4,5","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"7 Wonders Duel","173346","7.3","1","0","1","0","0","0","0","0","0","0","3","","2 players
30 Minutes
C-B-4

Good game. Easy to learn.  Some win conditions are too easy.  

Edit: 9/14 -after playing many games it feels like a watered down version of lord of the rings duel, I would suggest that game over 7 wonders duel.","","","","135496171","7.9505","8.07533","2.2272","24","186091","thing","7 Wonders Duel","2","2","30","30","30","2015","2","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"The 7th Continent","180263","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","146488013","7.41284","7.72454","2.8969","168","38899","thing","The 7th Continent","1","4","1000","1000","5","2017","1,2","1,2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
